ANNO_SOLARE;COD_Ateneo;NOME_ATENEO;CODICE_GETTITO;DESCRIZIONE_GETTITO;CONSUNTIVO
2008;00101;Torino - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;64704277
2008;00101;Torino - Università degli studi;02 ;Gettito relativo a corsi di dottorato;5633
2008;00101;Torino - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;2154686
2008;00101;Torino - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;1441594
2008;00101;Torino - Università degli studi;04a;Gettito relativo ad altri corsi;209748
2008;00101;Torino - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);0
2008;00101;Torino - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;751038
2008;00101;Torino - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;3222493
2008;00101;Torino - Università degli studi;08 ;Altro da studenti, non costituente gettito;919166
2008;00102;Torino - Politecnico;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;22492524
2008;00102;Torino - Politecnico;02 ;Gettito relativo a corsi di dottorato;344614
2008;00102;Torino - Politecnico;03 ;Gettito relativo a corsi di specializzazione;10632
2008;00102;Torino - Politecnico;04 ;Gettito relativo a corsi di perfezionamento e master;361866
2008;00102;Torino - Politecnico;04a;Gettito relativo ad altri corsi;56202
2008;00102;Torino - Politecnico;05 ;Tassa regionale per il DSU (se riscossa da università);2554530
2008;00102;Torino - Politecnico;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;401464
2008;00102;Torino - Politecnico;07 ;Altre entrate non necessarie per l'iscrizione;253702
2008;00102;Torino - Politecnico;08 ;Altro da studenti, non costituente gettito;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;8951195
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02 ;Gettito relativo a corsi di dottorato;17108
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03 ;Gettito relativo a corsi di specializzazione;306190
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";04 ;Gettito relativo a corsi di perfezionamento e master;415101
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";04a;Gettito relativo ad altri corsi;12275
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";05 ;Tassa regionale per il DSU (se riscossa da università);748
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;178440
