TIPO;PROGRESSIVO_DM_ASS;DATA_PRIMA_PUBBLICAZIONE;DM_RIFERIMENTO;GRUPPO_DM_SIMILI;ISCRIZIONE_REPERTORIO;INIZIO_VALIDITA;FINE_VALIDITA;FABBRICANTE_ASSEMBLATORE;CODICE_FISCALE;PARTITA_IVA_VATNUMBER;CODICE_CATALOGO_FABBR_ASS;DENOMINAZIONE_COMMERCIALE;CLASSIFICAZIONE_CND;DESCRIZIONE_CND;DATAFINE_COMMERCIO
1;1221;2007-08-19;;;S;2013-06-25;9999-12-31;ID&CO S.R.L.;09018810151;09018810151;PD01R;PENNARELLI DERMOGRAFICI;V9004;MATITE DERMOGRAFICHE;
1;1241;2007-07-06;;;S;2007-07-06;9999-12-31;JOHNSON & JOHNSON MEDICAL HOLDING S.P.A.;00421430588;;V400;VACUDRAIN;A060299;SISTEMI DI DRENAGGIO PERCUTANEO - ALTRI;2010-03-16
1;1262;2007-09-19;;;S;2007-09-19;9999-12-31;BUERKI INNO MED;;;BSD 500/510/560;CANNULE IRRIGAZIONE/ASPIRAZIONE PER TECNICA BIMANUALE;K01020110;CANNULE MONOUSO PER ASPIRAZIONE/IRRIGAZIONE IN CHIRURGIA MINI-INVASIVA (non elettrificate);
1;1281;2007-09-14;;;N;2007-09-14;9999-12-31;ACTIMEX SRL;00988830329;00988830329;ACDM-01-07;RINOCICLINA SPRAY  NASALE;Q030199;DISPOSITIVI NASOFARINGEI - ALTRI;
1;1301;2007-07-06;;;S;2007-07-06;9999-12-31;JOHNSON & JOHNSON MEDICAL HOLDING S.P.A.;00421430588;;V410;VACUDRAIN;A060299;SISTEMI DI DRENAGGIO PERCUTANEO - ALTRI;2010-03-16
1;1302;2007-07-06;;;S;2007-07-06;9999-12-31;JOHNSON & JOHNSON MEDICAL HOLDING S.P.A.;00421430588;;V420;VACUDRAIN;A060299;SISTEMI DI DRENAGGIO PERCUTANEO - ALTRI;2010-03-16
1;1321;2007-08-31;;;S;2007-08-31;9999-12-31;BUERKI INNO MED;;;SL100 SL110 SL115 SL116 SL120 SL130 SL140 SL170 SL180;CANNULE IRRIGAZIONE ASPIRAZIONE;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;1324;2007-08-31;;;S;2007-08-31;9999-12-31;BUERKI INNO MED;;;UBH200-300 UBI 120-121-125-126-127-128-400 UBA100-102-104-108-105-110-112;CANNULE IRRIGAZIONE ASPIRAZIONE PER TECNICA BIMANUALE;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;1341;2008-04-10;;;S;2018-03-19;9999-12-31;VASCUTEK LTD;;806391432;63XXXXP;GELSOFT PLUS RETTE;P070102010101;PROTESI VASCOLARI RETTE IN DACRON MAGLIA;
1;1362;2007-08-11;;;N;2007-08-11;9999-12-31;PERFETTI VAN MELLE ITALIA SRL;05023760969;;01;HAPPYDENT WHITE TECH;Q010199;DISPOSITIVI PER ODONTOIATRIA CONSERVATIVA ED ENDODONZIA - ALTRI;
1;1363;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;91BOPXXXXX;BOP;S01010101;BUSTE PIATTE IN ACCOPPIATO CARTA/FILM PLASTICO PER STERILIZZAZIONE;
1;1364;2007-08-15;;;N;2007-08-15;9999-12-31;CRAB SINERGY;03353400165;03353400165;00067869000000;KIT  ASPIRATORE NASALE NASONET;V028002;KIT PER LA CURA DEL NEONATO;2012-01-01
1;1402;2015-06-11;;;N;2015-06-11;9999-12-31;EDIERRE IMPLANT SYSTEM SRL;01372210995;01372210995;P103310 P105015;VITE IMPIANTO FIXTURE;P010201;IMPIANTI DENTALI;2013-03-14
1;1403;2015-06-11;;;N;2015-06-11;9999-12-31;EDIERRE IMPLANT SYSTEM SRL;01372210995;01372210995;P213308/215011;MONCONE FRESABILE/DRILLABLE ABUTMENT;Q010299;DISPOSITIVI PER ODONTOIATRIA PROTESICA - ALTRI;2013-03-14
1;1404;2015-06-11;;;N;2015-06-11;9999-12-31;EDIERRE IMPLANT SYSTEM SRL;01372210995;01372210995;DA P223301 A P225003;MONCONE CEMENTABILE/CEMENTABLE ABUTMENT;Q010299;DISPOSITIVI PER ODONTOIATRIA PROTESICA - ALTRI;2013-03-14
1;1405;2015-06-11;;;N;2015-06-11;9999-12-31;EDIERRE IMPLANT SYSTEM SRL;01372210995;01372210995;DA P203301  A P205005;MONCONE ANGOLATO 15°/15° ANGLED ABUTMENT;Q010299;DISPOSITIVI PER ODONTOIATRIA PROTESICA - ALTRI;2013-03-14
1;1406;2015-06-11;;;N;2015-06-11;9999-12-31;EDIERRE IMPLANT SYSTEM SRL;01372210995;01372210995;DA P273301 A P275005;MONCONE PER BARRA/BAR ABUTMENT;Q010299;DISPOSITIVI PER ODONTOIATRIA PROTESICA - ALTRI;2013-03-14
1;1407;2015-06-11;;;N;2015-06-11;9999-12-31;EDIERRE IMPLANT SYSTEM SRL;01372210995;01372210995;DA P183300 A P185000;MONCONE PROVVISORIO/TEMPORARY ABUTMENT;Q010299;DISPOSITIVI PER ODONTOIATRIA PROTESICA - ALTRI;2013-03-14
1;1408;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;92BOPXXXXX;BOP;S01020101;ROTOLI PIATTI IN ACCOPPIATO CARTA/FILM PLASTICO PER STERILIZZAZIONE;
