"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2004","2004",62.193,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2005","2005",50.122,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2006","2006",50.097,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2007","2007",43.19,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2008","2008",40.887,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2009","2009",35.842,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2010","2010",37.241,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2011","2011",31.026,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2012","2012",31.65,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2013","2013",31.053,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2014","2014",28.394,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2015","2015",25.383,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016","2016",23.207,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017","2017",24.122,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2004","2004",1652.29,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2005","2005",1619.174,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2006","2006",1578.211,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2007","2007",1557.203,,
